00ALIMENTOS15-04-2021 00:06:2801;;;;;;;;;;;;
ID_CORPO;ID_ALIMENTO;NOME;PORÇÃO;CALORIAS;COLESTEROL;CARBOIDRATO;FIBRA;CALCIO;FERRO;SODIO;PROTEINA;CATEGORIA_ID
2;387;Cação em postas com farinha de trigo frito   ;100;208,33;74,9;3,1;0,53;30,44;0,99;160,03;24,95;5
2;388;Cação em postas cozido                       ;100;116,01;83,25;0;0;10,32;0,31;114,9;25,58;5
2;393;Cação em postas cru                          ;100;83,33;36,12;0;0;8,7;0,2;176,02;17,85;5
2;394;Camarão rio grande cozido                    ;100;90,01;204,85;0;0;89,74;1,27;366,55;18,96;5
2;395;Camarão rio grande cru                       ;100;47,18;123,98;0;0;51,11;0,66;201,12;9,91;5
2;397;Camarão sete barbas frito                    ;100;231,24;283,13;2,87;0;959,7;2,43;99,05;18,38;5
2;398;Caranguejo cozido                            ;100;82,72;84,6;0;0;357,15;2,86;360,1;18,47;5
2;399;Corimba cru                                  ;100;128,15;40,23;0;0;40,05;0,5;47,01;17,36;5
2;400;Corimbatá assado                             ;100;261,45;80,09;0;0;22,3;0,97;40,42;19,89;5
2;401;Corimbatá cozido                             ;100;238,69;74,61;0;0;64,68;0,62;37,16;20,13;5
2;402;Corvina de água doce crua                    ;100;101;73,11;0;0;39,43;0,25;45,09;18,91;5
2;403;Corvina do mar crua                          ;100;94;67,07;0;0;0;0,37;67,97;18,57;5
2;404;Corvina grande assada                        ;100;146,52;117,05;0;0;60,22;0,53;85,35;26,76;5
2;405;Corvina grande cozida                        ;100;100,07;122,55;0;0;69,37;0,57;68,39;23,43;5
2;406;Dourado de água doce                         ;100;131,2;51,98;0;0;12,13;0,15;40,29;18,81;5
2;407;Lambari congelado cru                        ;100;130,84;158,66;0;0;1181,27;0,9;47,92;16,81;5
2;408;Lambari congelado frito                      ;100;326,86;246,32;0;0;1881,03;0,81;64,55;28,43;5
2;409;Lambari fresco cru                           ;100;151,59;144,25;0;0;590,72;0,63;41,1;15,65;5
2;410;Manjuba com farinha de trigo frita           ;100;343,55;281,75;10,24;0,36;763,3;3,04;36,52;23,45;5
2;411;Manjuba frita                                ;100;349,32;270,34;0;0;575,02;0,91;40,61;30,13;5
2;412;Filé de Merluza Assado                       ;100;121,9;90,9;0;0;35,9;0,3;119,9;26,6;5
2;413;Filé de Pescada cru                          ;100;89,1;57,18;0;0;20,4;0,1;79,5;16,6;5
